headline,summary,content,url,image_url,published_date,source_name,market
Stocks are falling again on Wall Street after a weaker-than-expected profit report from Walmart,"NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.","NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.5% in early trading Thursday and was on track for a fifth straight mod... [4096 chars]",https://www.baytoday.ca/business/stocks-are-falling-again-on-wall-street-after-a-weaker-than-expected-profit-report-from-walmart-11104939,https://www.vmcdn.ca/f/files/shared/feeds/cp/2025/08/219c137859fd31bb974fa2b22049c86efcc4031b65c877ea3529ba6c8ef43d20.jpg;w=1200;h=800;mode=crop,2025-08-21 13:34:16+00:00,BayToday,SP500
Stocks are falling again on Wall Street after a weaker-than-expected profit report from Walmart,"NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.","NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.5% in early trading Thursday and was on track for a fifth straight mod... [4096 chars]",https://www.sootoday.com/national-business/stocks-are-falling-again-on-wall-street-after-a-weaker-than-expected-profit-report-from-walmart-11104939,https://www.vmcdn.ca/f/files/shared/feeds/cp/2025/08/219c137859fd31bb974fa2b22049c86efcc4031b65c877ea3529ba6c8ef43d20.jpg;w=1200;h=800;mode=crop,2025-08-21 13:34:16+00:00,SooToday,SP500
S&P 500: Is a Deeper Correction Ahead?,"Market Analysis by covering: Nasdaq 100, Gold Spot US Dollar, S&P 500, Gold Futures. Read 's Market Analysis on Investing.com","The rebounded from a local low yesterday - does this suggest more sideways trading ahead?
Stocks pulled back on Wednesday, but they rebounded from intraday lows, with the S&P 500 index closing just 0.24% below Tuesday’s close. Today, it is expected t... [2696 chars]",https://www.investing.com/analysis/sp-500-is-a-deeper-correction-ahead-200665680,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,2025-08-21 13:20:53+00:00,Investing.com,SP500
S&P 500 hits familiar post-election year slump; this chart suggests more pain ahead,"The S&P 500 has slipped over the past four trading days, tracking a familiar late-summer dip in post-election years.","The S&P 500 has slipped over the past four trading days, tracking a familiar late-summer dip in post-election years.
Carson Investment Research data shows that since 1950, the index typically bottoms by late October before resuming a year-end rally. ... [765 chars]",https://finbold.com/sp-500-hits-familiar-post-election-year-slump-this-chart-suggests-more-pain-ahead/,https://assets.finbold.com/uploads/2025/08/SP-500-hits-familiar-post-election-year-slump-this-chart-suggests-more-pain-ahead.jpg,2025-08-21 12:48:40+00:00,Finbold,SP500
Morning Minute: CME & Fanduel Bring Prediction Markets to the Masses,"The new event contracts platform will make it easier for everyday users to bet on markets like the S&P 500, oil, gold, and even crypto.","Create an account to save your articles.
Create an account to save your articles.
Decrypt’s Art, Fashion, and Entertainment Hub. Discover SCENE
Morning Minute is a daily newsletter written by Tyler Warner. The analysis and opinions expressed are his ... [7447 chars]",https://decrypt.co/336204/morning-minute-cme-fanduel-bring-prediction-markets-to-the-masses,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2025/08/dollar-crystal-ball-decrypt-style-gID_7.jpg,2025-08-21 12:35:11+00:00,Decrypt,SP500
Dow Jones Today: Stock Futures Fall After Four Days of Losses for S&P 500 as Tech Stocks Remain Under Pressure; Walmart Drops After Earnings,Stock futures are pointing to a lower open for major indexes on Thursday as investors prepare for tomorrow's highly anticipated speech from Federal Reserve Chair Jerome Powell.,"Stock futures are pointing to a lower open for major indexes on Thursday as investors prepare for tomorrow's highly anticipated speech from Federal Reserve Chair Jerome Powell.
Futures tied to the Dow Jones Industrial Average were down 0.4% recently,... [2724 chars]",https://www.investopedia.com/dow-jones-today-08212025-11794991,https://www.investopedia.com/thmb/D_eaY_-5hw2oz_lqlNn9wZHFafc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-22292848441-390aef80258b437fad64e710106d2e03.jpg,2025-08-21 12:27:28+00:00,Investopedia,SP500
"Dow, S&P futures dip as Walmart misses; Nasdaq steadies on Nvidia bounce, Tesla slides","US Stock Futures Today opened with mixed signals as Wall Street traders weighed tech sector uncertainty against the Federal Reserves next big policy move. Dow and S&P 500 futures pointed lower, while the Nasdaq managed to hold steady, showing how fragile investor confidence remains. Retail earnings, particularly from Walmart, and Jerome Powells Jackson Hole speech are setting the stage for a volatile trading day.","Dow Jones futures slipped roughly 0.3% , signaling a softer tone for blue-chip equities.
slipped roughly , signaling a softer tone for blue-chip equities. S&P 500 futures eased about 0.1–0.2% , hinting at a cautious tone for broad-market index invest... [8352 chars]",https://economictimes.indiatimes.com/news/international/us/us-stock-market-futures-today-dow-sp-futures-slip-as-walmart-stumbles-nasdaq-steadies-on-nvidia-rebound-tesla-drags-tech-lower-ahead-of-feds-jackson-hole-test/articleshow/123432201.cms,"https://img.etimg.com/thumb/msid-123432967,width-1200,height-630,imgsize-93158,overlay-economictimes/articleshow.jpg",2025-08-21 12:13:00+00:00,Economic Times,SP500
CME Group and FanDuel Join Forces to Let Investors Bet on Financial Market Outcomes,"Flutter Entertainment’s online gambling division FanDuel is joining forces with derivatives exchange CME Group Inc to offer wagers on a range of financial market outcomes, from predictions on the S&P 500 to cryptocurrencies.","Flutter Entertainment’s (FLUT) online gambling division FanDuel is joining forces with derivatives exchange CME Group Inc. to offer wagers on a range of financial market outcomes, from predictions on the S&P 500 to cryptocurrencies.
“Individual inves... [725 chars]",https://www.investopedia.com/cme-group-and-fanduel-join-forces-to-let-investors-bet-on-financial-market-outcomes-11794987,https://www.investopedia.com/thmb/AoJ-a5sqUQZayWWkDyYHtom8dPc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-2209031846-9dfcebdbd2c942f78826658d97328621.jpg,2025-08-21 12:05:46+00:00,Investopedia,SP500
S&P 500: How $3 Trillion in Options Expiry Can Move Markets,"Market Analysis by covering: S&P 500, Target Corporation. Read 's Market Analysis on Investing.com","Nearly $3 trillion of notional stock options expire on Friday’s open expiration (OPEX day). Over half of the OPEX volume is in options, with the remainder in single stock options. The graph below provides details on the split between puts and calls, ... [2864 chars]",https://www.investing.com/analysis/sp-500-how-3-trillion-in-options-expiry-can-move-markets-200665666,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,2025-08-21 11:11:13+00:00,Investing.com,SP500
"2 Funds, Same Stocks: One’s a Bargain, the Other Is Dangerous","Market Analysis by covering: S&P 500, Deere & Company, Mastercard Inc, Texas Instruments Incorporated. Read 's Market Analysis on Investing.com","This market continues to float higher—and that means we dividend investors do need to be more selective. But it doesn’t mean there aren’t high-yield options on the table for us.
With that in mind, today we’re going to look at two closed-end funds (CE... [5561 chars]",https://www.investing.com/analysis/2-funds-same-stocks-ones-a-bargain-the-other-is-dangerous-200665665,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,2025-08-21 10:17:17+00:00,Investing.com,SP500
"Stock Market Today: Dow, S&P 500 Futures Slip As Jackson Hole Kicks Off- Walmart, Intuit, Ross Stores Earnings In Focus",U.S. stock futures were slightly below the flatline on Thursday following Wednesday's mixed close. Futures were lower.,"U.S. stock futures were slightly below the flatline on Thursday following Wednesday’s mixed close. Futures of major benchmark indices were lower.
The three-day Jackson Hole Economic Policy Symposium begins today, with the Federal Reserve Chair Jerome... [7342 chars]",https://www.benzinga.com/markets/equities/25/08/47253722/stock-market-today-dow-sp-500-futures-slip-as-jackson-hole-kicks-off-walmart-intuit-ross-stores-earnings-in-focus,https://cdn.benzinga.com/files/images/story/2025/08/21/Charging-Bull-Is-A-Bronze-Sculpture-That.jpeg?width=1200&height=800&fit=crop,2025-08-21 09:53:27+00:00,Benzinga,SP500
Investors Expect Nvidia’s Earnings to Move the S&P More Than Powell’s Speech,"When Nvidia, the chip producer, reports earnings next week, investors expect the S&P 500 to have a bigger reaction than when the Fed chair delivers a big speech on Friday.","There are plenty of data points arriving over the coming weeks that could trip up the runaway stock market.
On Friday, the Federal Reserve chair delivers a hotly anticipated speech at Jackson Hole in Wyoming. Not long after that, the Labor Department... [375 chars]",https://www.nytimes.com/2025/08/21/business/stocks-nvidia-federal-reserve.html,https://static01.nyt.com/images/2025/08/20/multimedia/00BIZ-STOCKS-NVIDIA-ptzv/00BIZ-STOCKS-NVIDIA-ptzv-facebookJumbo.jpg,2025-08-21 09:03:25+00:00,The New York Times,SP500
Gonet: l'actualité des marchés au 21 août,"Dow +0,04%, S&P 500 -0,24%, Nasdaq -0,67%, Russell -0,32%, SOX -0,72%, Eurostoxx -0,20%%, SMI +0,52%.","Dow +0,04%, S&P 500 -0,24%, Nasdaq -0,67%, Russell -0,32%, SOX -0,72%, Eurostoxx -0,20%%, SMI +0,52%.
L’appétit au risque du marché semble avoir diminué depuis quelques séances, ou alors peut-être est-il devenu plus sélectif. On continue de prendre q... [7723 chars]",https://www.allnews.ch/content/march%C3%A9s/gonet-lactualit%C3%A9-des-march%C3%A9s-au-21-ao%C3%BBt-2,https://www.allnews.ch/sites/default/files/styles/large/public/NUSSBAUMER_Jean_Frederique_RS_0.jpg?h=1851c7f5&itok=bUO0G2PM,2025-08-21 07:31:54+00:00,allnews.ch,SP500
"S&P 500 Declines For 4th Session: Investor Sentiment Falls Further, But Fear Index Remains In 'Greed' Zone","Fear & Greed index, measuring market sentiment, declined on Wed. Fed warned of inflation risks, Traders expect rate cut.","The CNN Money Fear and Greed index showed a decline in the overall market sentiment, while the index remained in the “Greed” zone on Wednesday.
U.S. stocks settled mostly lower on Wednesday, with the Nasdaq Composite falling more than 100 points duri... [2324 chars]",https://www.benzinga.com/markets/equities/25/08/47252432/sp-500-declines-for-4th-session-investor-sentiment-falls-further-but-fear-index-remains-in-greed-zone,https://cdn.benzinga.com/files/images/story/2025/08/21/Fear-and-Greed.jpeg?width=1200&height=800&fit=crop,2025-08-21 07:23:25+00:00,Benzinga,SP500
"S&P 500 at a Crossroads as Liquidity Drains, Yield Spreads Weigh","Market Analysis by covering: US Dollar Japanese Yen, Nasdaq 100, Mexican Peso Japanese Yen, S&P 500. Read 's Market Analysis on Investing.com","Stocks had a volatile session, broadly finishing lower. The sharp morning sell-off on Wednesday was unexpected, though the rebound was not. The real test comes today with $44 billion in Treasury settlements and the reverse repo facility now depleted,... [1753 chars]",https://www.investing.com/analysis/sp-500-at-a-crossroads-as-liquidity-drains-yield-spreads-weigh-200665640,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,2025-08-21 06:51:28+00:00,Investing.com,SP500
Μεγάλοι νικητές στον S&P 500 το 2025: Τέσσερις μετοχές με άνοδο έως 93%,"Με το πρώτο εξάμηνο του 2025 ήδη πίσω μας, ήρθε η ώρα να δούμε τις μετοχές που ξεχώρισαν στον δείκτη S&P 500. Τέσσερις μετοχές κατέγραψαν κέρδη κοντά","Με το πρώτο εξάμηνο του 2025 ήδη πίσω μας, ήρθε η ώρα να δούμε τις μετοχές που ξεχώρισαν στον δείκτη S&P 500. Τέσσερις μετοχές κατέγραψαν κέρδη κοντά στο 80%, με την πρώτη να υπερβαίνει κατά πολύ την απόδοση του υπόλοιπου δείκτη.
Palantir: Η τεχνητή ... [1721 chars]",https://www.tanea.gr/2025/08/21/economy/megaloi-nikites-ston-sp-500-to-2025-tesseris-metoxes-me-anodo-eos-93/,https://www.tanea.gr/wp-content/uploads/2025/07/stock-6682491_1280.jpg,2025-08-21 05:19:50+00:00,Τα Νέα Οnline,SP500
Asian shares are mostly higher after Wall Street trims losses,"Asian shares are mostly higher after a mixed finish on Wall Street, where shares in Nvidia, Palantir and other superstar stocks pared their earlier steep losses.On Wall Street on Wednesday, the S&P 500 dipped 0.2% Wednesday after trimming a loss that reached 1.1% earlier in the day.","MANILA, Philippines (AP) — Asian shares were mostly higher on Thursday after a mixed finish on Wall Street, where shares in Nvidia, Palantir and other superstar stocks pared their earlier steep losses.
Traders are looking ahead for cues about U.S. mo... [3370 chars]",https://apnews.com/article/stocks-markets-powell-tariffs-trump-30c411cd18bf6a43cb787ac838b897f6,https://dims.apnews.com/dims4/default/94222ec/2147483647/strip/true/crop/7425x4177+0+387/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F99%2F56%2F32e0d0cedfefa3435daf5f1ebef5%2F5f9bb1538b39432786e7ce919a5f1f64,2025-08-21 04:57:09+00:00,The Associated Press,SP500
Bitcoin: Bullish Enthusiasm Wanes as Breakouts Fade,"Market Analysis by covering: S&P 500, US Small Cap 2000, iShares Russell 2000 ETF, NASDAQ Composite. Read 's Market Analysis on Investing.com","Markets are vulnerable to any single day of heavy selling as they have been achieving only modest gains recently. The good news, we haven’t really seen that with any of the lead indices. The one exception was . The day after it posted it’s breakout, ... [1300 chars]",https://www.investing.com/analysis/bitcoin-bullish-enthusiasm-wanes-as-breakouts-fade-200665641,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,2025-08-21 04:34:57+00:00,Investing.com,SP500
416 Shares in Global X S&P 500 Catholic Values ETF $CATH Purchased by US Bancorp DE,Read 416 Shares in Global X S&P 500 Catholic Values ETF $CATH Purchased by US Bancorp DE at ETF Daily News,"US Bancorp DE purchased a new stake in shares of Global X S&P 500 Catholic Values ETF (NASDAQ:CATH – Free Report) in the 1st quarter, according to its most recent filing with the Securities & Exchange Commission. The firm purchased 416 shares of the ... [3133 chars]",https://www.etfdailynews.com/2025/08/21/416-shares-in-global-x-sp-500-catholic-values-etf-cath-purchased-by-us-bancorp-de/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/global-x-sp-500-catholic-values-etf-logo-1200x675.jpg?v=20210709123739&w=240&h=240&zc=2,2025-08-21 03:52:45+00:00,ETF Daily News,SP500
PGIM S&P 500 Buffer 20 ETF - April $PBAP Stake Lessened by Cetera Investment Advisers,Read PGIM S&P 500 Buffer 20 ETF – April $PBAP Stake Lessened by Cetera Investment Advisers at ETF Daily News,"Cetera Investment Advisers lessened its stake in PGIM S&P 500 Buffer 20 ETF – April (BATS:PBAP – Free Report) by 5.9% in the first quarter, Holdings Channel reports. The institutional investor owned 10,136 shares of the company’s stock after selling ... [1427 chars]",https://www.etfdailynews.com/2025/08/21/pgim-sp-500-buffer-20-etf-april-pbap-stake-lessened-by-cetera-investment-advisers/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/generic-stocks.jpg&w=240&h=240&zc=2,2025-08-21 03:20:56+00:00,ETF Daily News,SP500
Tech Stocks In Focus As Nasdaq Bounces From Lows: Markets Wrap,"Asian technology stocks perked up in early trade after dip buyers helped lift US stocks from their lowest levels of the day. South Korea’s Kospi index rose over 1%, led by a gain in Samsung Electronics Co. shares. LG Display Co. climbed in Seoul while Advantest Corp. jumped 4% in Tokyo. The S&P 500 fell 0.2% and the Nasdaq 100 retreated 0.6%, still above the lowest levels of the day.","Asian technology stocks perked up in early trade after dip buyers helped lift US stocks from their lowest levels of the day.
South Korea’s Kospi index rose over 1%, led by a gain in Samsung Electronics Co. shares. LG Display Co. climbed in Seoul whil... [979 chars]",https://www.ndtvprofit.com/markets/global-stock-markets-asian-indices-hang-seng-nikkei-dax-ftse-nasdaq-s-and-p-dow-jones-news-today-21-august-2025,https://media.assettype.com/bloombergquint%2F2025-08-21%2Fkj4sdc8b%2F438333048.jpg?w=1200&auto=format%2Ccompress&ogImage=true,2025-08-21 01:17:22+00:00,NDTV Profit,SP500
"Global markets today: Nikkei 225, Kospi trade mixed on S&P 500's four-day losing streak","Global markets today: Japan’s Nikkei 225 slipped 0.21 per cent in early trading, with the broader Topix falling 0.4 per cent.","Global markets today: Asian markets mostly traded higher as investors evaluated the S&P 500’s four-day losing streak, driven by declines in technology stocks.
Market participants in the region are also awaiting India’s HSBC Composite flash purchasing... [523 chars]",https://www.livemint.com/market/stock-market-news/global-markets-today-nikkei-225-kospi-trade-mixed-on-s-p-500s-four-day-losing-streak-11755737084734.html,https://www.livemint.com/lm-img/img/2025/08/21/1600x900/GLOBAL-MARKETS--0_1749494479491_1755737795919.JPG,2025-08-21 00:58:22+00:00,Livemint,SP500
"Tech selloff drags Wall Street lower for second day; S&P 500, European shares steady","Analysts blamed a confluence of factors for the weakness in tech stocks, including concerns over steep valuations, investors exiting profitable positions, and risk aversion.","Wall Street shares dropped on Wednesday, with a tech selloff extending into a second day, while a key meeting of central bankers later this week remained in focus for currency and rates traders.
The S&P 500 ended down 0.2% and the tech-heavy Nasdaq C... [3154 chars]",https://www.financialexpress.com/market/tech-selloff-drags-wall-street-lower-for-second-day-sampp-500-european-shares-steady-3952855/,https://www.financialexpress.com/wp-content/uploads/2025/08/diya-0001-2025-08-21T061149.188.jpg,2025-08-21 00:45:11+00:00,The Financial Express,SP500
"CEO Pay Surged 35% At The Lowest-Paying S&P 500 Companies Between 2019 And 2024, Report Says","The CEOs of the country's lowest-paying large companies made $17.2 million on average last year. Their workers made $35,570.","Topline The wage gap between CEOs and workers at the lowest-paying firms on the S&P 500 rose by almost 13% between 2019 and 2024, an analysis released Thursday shows, with CEO pay rising more than twice as quickly as that of the average worker. A bar... [3643 chars]",https://www.forbes.com/sites/maryroeloffs/2025/08/21/the-wage-gap-between-ceos-and-workers-is-widening-and-this-popular-company-is-the-biggest-offender/,"https://imageio.forbes.com/specials-images/imageserve/68a73177dfe8174822751c14/0x0.jpg?format=jpg&crop=2483,1396,x0,y0,safe&height=900&width=1600&fit=bounds",2025-08-21 00:00:00+00:00,Forbes,SP500
6 Best ETFs To Buy To Diversify Beyond The S&P 500,"Looking for more than just the S&P 500? Find the top ETFs to diversify your holdings, reduce risk and expand your investments.","The S&P 500 has made headlines for its performance in recent years, but it's not the only game in town. getty
An S&P 500 ETF may have been your first investing pick, but it shouldn’t be your last. While the large-cap S&P 500 index has made its share ... [8308 chars]",https://www.forbes.com/sites/investor-hub/article/best-etfs-buy-diversify-beyond-sp500/,https://imageio.forbes.com/specials-images/imageserve/68a630794425db75c3c88845/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-08-21 00:00:00+00:00,Forbes,SP500
